Month,Data1,Data2,Data3
2016-03,451,1.7282608695652173,1.959
2016-04,311,1.9185714285714286,2.178
2016-05,151,1.9222727272727271,2.288
2016-06,21,2.5863636363636364,2.924
2016-07,6,2.822857142857143,2.876
2016-08,6,2.823913043478261,2.887
2016-09,39,2.9936363636363637,2.906
2016-10,198,2.9785714285714286,3.026
2016-11,419,2.549545454545455,3.352
2016-12,785,3.5913636363636368,3.724
2017-01,768,3.3045454545454547,3.117
2017-02,549,2.853,2.774
2017-03,545,2.8795652173913044,3.19
2017-04,249,3.102,3.276
2017-05,154,3.1495652173913045,3.071
2017-06,25,2.975454545454545,3.035
2017-07,5,2.9842857142857144,2.794
2017-08,15,2.901304347826087,3.04
2017-09,45,2.975714285714286,3.007
2017-10,193,2.8786363636363634,2.896
2017-11,492,3.0136363636363637,3.025
2017-12,800,2.8225000000000002,2.953
2018-01,899,3.8755,2.995
2018-02,627,2.670526315789474,2.667
2018-03,611,2.6928571428571426,2.733
2018-04,412,2.796190476190476,2.763
2018-05,86,2.800909090909091,2.952
2018-06,26,2.967142857142857,2.924
2018-07,4,2.8323809523809524,2.782
2018-08,7,2.9617391304347827,2.916
2018-09,38,2.995263157894737,3.008
2018-10,255,3.2752173913043476,3.261
2018-11,595,4.090999999999999,4.612
2018-12,734,4.041666666666667,2.94
2019-01,862,3.1085714285714285,2.814
2019-02,722,2.6926315789473683,2.812
2019-03,634,2.948571428571429,2.662
2019-04,289,2.6471428571428572,2.575
2019-05,159,2.639090909090909,2.454
2019-06,34,2.3985,2.308
2019-07,5,2.366190476190476,2.233
2019-08,10,2.2209090909090907,2.285
2019-09,41,2.559,2.33
2019-10,255,2.331304347826087,2.633
2019-11,591,2.641578947368421,2.281
2019-12,718,2.224285714285714,2.189
2020-01,741,2.0185714285714287,1.841
2020-02,654,1.9131578947368422,1.684
2020-03,485,1.7888888888888888,1.64
2020-04,360,1.7390476190476192,1.949
2020-05,157,1.7485,1.849
2020-06,26,1.6318181818181818,1.751
2020-07,5,1.7671428571428571,1.799
2020-08,7,2.3023809523809526,2.63
2020-09,58,2.22,2.527
